CNES;CODUFMUN;COD_CEP;CPF_CNPJ;PF_PJ;NIV_DEP;CNPJ_MAN;COD_IR;REGSAUDE;MICR_REG;DISTRSAN;DISTRADM;VINC_SUS;TPGESTAO;ESFERA_A;RETENCAO;ATIVIDAD;NATUREZA;CLIENTEL;TP_UNID;TURNO_AT;NIV_HIER;TERCEIRO;TP_PREST;GESPRG1E;GESPRG1M;GESPRG2E;GESPRG2M;GESPRG4E;GESPRG4M;NIVATE_A;GESPRG3E;GESPRG3M;GESPRG5E;GESPRG5M;GESPRG6E;GESPRG6M;NIVATE_H;AP01CV01;AP01CV02;AP01CV05;AP01CV06;AP01CV03;AP01CV04;AP01CV07;AP02CV01;AP02CV02;AP02CV05;AP02CV06;AP02CV03;AP02CV04;AP02CV07;AP03CV01;AP03CV02;AP03CV05;AP03CV06;AP03CV03;AP03CV04;AP03CV07;AP04CV01;AP04CV02;AP04CV05;AP04CV06;AP04CV03;AP04CV04;AP04CV07;AP05CV01;AP05CV02;AP05CV05;AP05CV06;AP05CV03;AP05CV04;AP05CV07;AP06CV01;AP06CV02;AP06CV05;AP06CV06;AP06CV03;AP06CV04;AP06CV07;AP07CV01;AP07CV02;AP07CV05;AP07CV06;AP07CV03;AP07CV04;AP07CV07;ATEND_PR;IDEQUIPE;TIPO_EQP;NOME_EQP;ID_AREA;NOMEAREA;ID_SEGM;DESCSEGM;TIPOSEGM;DT_ATIVA;DT_DESAT;QUILOMBO;ASSENTAD;POPGERAL;ESCOLA;INDIGENA;PRONASCI;MOTDESAT;TP_DESAT;COMPETEN;NAT_JUR
0010464;530010;70710100;00394700001260;3;3;00394700000108;NA;2;NA;0010;NA;1;E;NA;NA;05;NA;03;05;06;NA;NA;99;0;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;530010017700468398;22;EMAD 1;5300100177;NRAD;53001001;SEGMENTO URBANO;1;201212;900001;0;0;0;0;0;0;00;0;202212;1023
0010464;530010;70710100;00394700001260;3;3;00394700000108;NA;2;NA;0010;NA;1;E;NA;NA;05;NA;03;05;06;NA;NA;99;0;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;530010074701520555;23;EMAP 01 ASA NORTE;5300100747;EMAP 01 ASA NORTE;53001001;SEGMENTO URBANO;1;201405;900001;0;0;0;0;0;0;00;0;202212;1023
0010464;530010;70710100;00394700001260;3;3;00394700000108;NA;2;NA;0010;NA;1;E;NA;NA;05;NA;03;05;06;NA;NA;99;0;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;530010000202189305;22;EMAD 2;5300100002;EMAD 1 - PLANALTINA;53001001;SEGMENTO URBANO;1;202107;900001;0;0;0;0;0;0;00;0;202212;1023
0010472;530010;72405901;00394700000612;3;3;00394700000108;NA;03;NA;0060;NA;1;E;NA;NA;03;NA;03;05;06;NA;NA;99;0;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;530010022400468851;22;EMAD;5300100224;EMAD;53001001;SEGMENTO URBANO;1;201208;900001;0;0;0;0;0;0;00;0;202212;1023
0010472;530010;72405901;00394700000612;3;3;00394700000108;NA;03;NA;0060;NA;1;E;NA;NA;03;NA;03;05;06;NA;NA;99;0;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;530010000601538098;23;EMAP;5300100006;EMAP;53001001;SEGMENTO URBANO;1;201606;900001;0;0;0;0;0;0;00;0;202212;1023
0010480;530010;72215270;00394700001341;3;3;00394700000108;NA;05;NA;0040;NA;1;E;NA;NA;03;NA;03;05;06;NA;NA;99;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;530010000202185121;22;EMAD T1 SEGUNDA;5300100002;EMAD 1 - PLANALTINA;53001001;SEGMENTO URBANO;1;202106;900001;0;0;0;0;0;0;00;0;202212;1023
0010480;530010;72215270;00394700001341;3;3;00394700000108;NA;05;NA;0040;NA;1;E;NA;NA;03;NA;03;05;06;NA;NA;99;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;530010007000468541;22;EMAD 01;5300100070;EMAD 01;53001001;SEGMENTO URBANO;1;201308;900001;0;0;0;0;0;0;00;0;202212;1023
0010480;530010;72215270;00394700001341;3;3;00394700000108;NA;05;NA;0040;NA;1;E;NA;NA;03;NA;03;05;06;NA;NA;99;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;530010007100468568;23;EMAP 02;5300100071;EMAP 02;53001001;SEGMENTO URBANO;1;201211;900001;0;0;0;0;0;0;00;0;202212;1023
0010499;530010;72120970;00394700000965;3;3;00394700000108;NA;04;NA;0180;NA;1;E;NA;NA;03;NA;03;05;06;NA;NA;99;0;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;530010002601481983;22;AREA 0026;5300100026;CONSULTORIO NA RUA;53001001;SEGMENTO URBANO;1;201308;900001;0;0;0;0;0;0;00;0;202212;1023
0010499;530010;72120970;00394700000965;3;3;00394700000108;NA;04;NA;0180;NA;1;E;NA;NA;03;NA;03;05;06;NA;NA;99;0;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;530010000501591274;23;EMAP 01 TAGUATINGA;5300100005;EMAP 01 TAGUATINGA;53001001;SEGMENTO URBANO;1;201511;900001;0;0;0;0;0;0;00;0;202212;1023
