MUNICIPIO_CODIGO;ANO;MES;TIPO_EQP;TOTAL_EQUIPES
110001;2020;12;70;8
110001;2020;12;72;1
110001;2021;12;70;8
110001;2021;12;72;1
110001;2022;12;70;8
110001;2022;12;72;1
110002;2020;12;70;18
110002;2020;12;72;1
110002;2021;12;70;18
110002;2022;12;70;19
110003;2020;12;70;3
110003;2020;12;72;1
110003;2021;12;70;3
110003;2021;12;72;1
110003;2022;12;70;3
110003;2022;12;72;1
110004;2020;12;70;19
110004;2020;12;72;1
110004;2021;12;70;19
110004;2021;12;72;1
110004;2022;12;70;20
110004;2022;12;72;1
110005;2020;12;70;7
110005;2021;12;70;6
110005;2022;12;70;5
110006;2020;12;70;5
110006;2021;12;70;5
110006;2022;12;70;5
110007;2020;12;70;3
110007;2021;12;70;3
110007;2022;12;70;3
110008;2020;12;70;5
110008;2021;12;70;5
110008;2022;12;70;5
110009;2020;12;70;7
110009;2021;12;70;7
110009;2022;12;70;7
110010;2020;12;70;13
110010;2021;12;70;13
110010;2022;12;70;13
110011;2020;12;70;17
110011;2020;12;72;2
110011;2021;12;70;17
110011;2021;12;72;2
110011;2022;12;70;17
110011;2022;12;72;2
110012;2020;12;70;29
110012;2020;12;72;2
110012;2021;12;70;30
110012;2021;12;72;2
110012;2022;12;70;30
110012;2022;12;72;2
110013;2020;12;70;9
110013;2020;12;72;1
110013;2021;12;70;9
110013;2021;12;72;1
110013;2022;12;70;9
110013;2022;12;72;1
110014;2020;12;70;5
110014;2020;12;72;1
110014;2021;12;70;5
110014;2021;12;72;1
110014;2022;12;70;5
110014;2022;12;72;1
110015;2020;12;70;13
110015;2021;12;70;13
110015;2022;12;70;13
110018;2020;12;70;8
110018;2021;12;70;8
110018;2022;12;70;8
110020;2020;12;70;86
110020;2020;12;72;2
110020;2021;12;70;90
110020;2021;12;72;3
110020;2022;12;70;92
110020;2022;12;72;3
110025;2020;12;70;7
110025;2020;12;72;1
110025;2021;12;70;7
110025;2021;12;72;1
110025;2022;12;70;7
110025;2022;12;72;1
110026;2020;12;70;2
110026;2021;12;70;2
110026;2022;12;70;2
110028;2020;12;70;14
110028;2021;12;70;15
110028;2022;12;70;15
110029;2020;12;70;4
110029;2021;12;70;4
110029;2022;12;70;4
110030;2020;12;70;25
110030;2020;12;72;4
110030;2021;12;70;25
110030;2021;12;72;4
110030;2022;12;70;26
110030;2022;12;72;4
110032;2020;12;70;4
110032;2020;12;72;1
110032;2021;12;70;4
110032;2021;12;72;1
110032;2022;12;70;4
110032;2022;12;72;1
110033;2020;12;70;7
110033;2021;12;70;7
110033;2022;12;70;7
110034;2020;12;70;5
110034;2021;12;70;5
110034;2022;12;70;5
110037;2020;12;70;6
110037;2020;12;72;1
110037;2021;12;70;6
110037;2021;12;72;1
110037;2022;12;70;6
110037;2022;12;72;1
110040;2020;12;70;6
110040;2021;12;70;6
110040;2022;12;70;6
110045;2020;12;70;9
110045;2021;12;70;9
110045;2022;12;70;9
110050;2020;12;70;4
110050;2021;12;70;4
110050;2022;12;70;4
110060;2020;12;70;3
110060;2021;12;70;3
110060;2022;12;70;3
110070;2020;12;70;4
110070;2020;12;72;1
110070;2021;12;70;4
110070;2021;12;72;1
110070;2022;12;70;4
110070;2022;12;72;1
110080;2020;12;70;8
110080;2020;12;72;1
110080;2021;12;70;8
110080;2021;12;72;1
110080;2022;12;70;8
110080;2022;12;72;1
110090;2020;12;70;2
110090;2021;12;70;2
110090;2021;12;72;1
110090;2022;12;70;2
110090;2022;12;72;1
110092;2020;12;70;4
110092;2020;12;72;1
110092;2021;12;70;4
110092;2021;12;72;1
110092;2022;12;70;4
110092;2022;12;72;1
110094;2020;12;70;3
110094;2021;12;70;4
110094;2022;12;70;4
110100;2020;12;70;4
110100;2021;12;70;4
110100;2022;12;70;4
110110;2020;12;70;3
110110;2021;12;70;3
110110;2022;12;70;3
110120;2020;12;70;3
110120;2021;12;70;3
110120;2022;12;70;3
110130;2020;12;70;4
110130;2021;12;70;4
110130;2022;12;70;4
110140;2020;12;70;5
110140;2021;12;70;6
110140;2022;12;70;6
110143;2020;12;70;2
110143;2021;12;70;2
110143;2022;12;70;2
110145;2020;12;70;3
110145;2021;12;70;2
110145;2022;12;70;3
110146;2020;12;70;1
110146;2020;12;72;1
110146;2021;12;70;1
110146;2021;12;72;1
110146;2022;12;70;1
110146;2022;12;72;1
110147;2020;12;70;2
110147;2021;12;70;2
110147;2022;12;70;2
110148;2020;12;70;2
110148;2021;12;70;2
110148;2022;12;70;2
110149;2020;12;70;8
110149;2021;12;70;8
110149;2022;12;70;8
110150;2020;12;70;4
110150;2021;12;70;4
110150;2022;12;70;4
110155;2020;12;70;2
110155;2021;12;70;2
110155;2022;12;70;2
110160;2020;12;70;5
110160;2020;12;72;1
110160;2021;12;70;5
110160;2021;12;72;1
110160;2022;12;70;5
110160;2022;12;72;1
110170;2020;12;70;3
110170;2021;12;70;3
110170;2022;12;70;3
110175;2020;12;70;3
110175;2021;12;70;3
110175;2022;12;70;4
110180;2020;12;70;3
110180;2021;12;70;3
110180;2022;12;70;3
120001;2020;12;70;6
120001;2020;12;72;1
120001;2021;12;70;6
120001;2021;12;72;1
120001;2022;12;70;6
120005;2020;12;70;3
120005;2020;12;72;1
120005;2021;12;70;3
120005;2021;12;72;1
120005;2022;12;70;3
120005;2022;12;72;1
120010;2020;12;70;9
120010;2020;12;72;1
120010;2021;12;70;9
120010;2021;12;72;1
120010;2022;12;70;9
120010;2022;12;72;1
120013;2020;12;70;4
120013;2020;12;72;1
120013;2021;12;70;4
120013;2021;12;72;1
120013;2022;12;70;4
120013;2022;12;72;1
120017;2020;12;70;5
120017;2021;12;70;5
120017;2022;12;70;5
120020;2020;12;70;39
120020;2020;12;72;7
120020;2021;12;70;39
120020;2021;12;72;2
120020;2022;12;70;39
120020;2022;12;72;2
120025;2020;12;70;7
120025;2021;12;70;7
120025;2021;12;72;1
120025;2022;12;70;8
120025;2022;12;72;1
120030;2020;12;70;8
120030;2020;12;72;1
120030;2021;12;70;9
120030;2021;12;72;1
120030;2022;12;70;9
120032;2020;12;70;3
120032;2021;12;70;3
120032;2022;12;70;3
120033;2020;12;70;8
120033;2020;12;72;1
120033;2021;12;70;9
120033;2021;12;72;1
120033;2022;12;70;10
120033;2022;12;72;1
120034;2020;12;70;4
120034;2021;12;70;4
120034;2022;12;70;4
120035;2020;12;70;6
120035;2020;12;72;1
120035;2021;12;70;6
120035;2021;12;72;1
120035;2022;12;70;5
120035;2022;12;72;1
120038;2020;12;70;8
120038;2020;12;72;1
120038;2021;12;70;8
120038;2021;12;72;1
120038;2022;12;70;8
120038;2022;12;72;1
120039;2020;12;70;5
120039;2020;12;72;1
120039;2021;12;70;5
120039;2022;12;70;5
120040;2020;12;70;79
120040;2021;12;70;82
120040;2022;12;70;82
120042;2020;12;70;8
120042;2020;12;72;1
120042;2021;12;70;8
120042;2021;12;72;1
120042;2022;12;70;10
120042;2022;12;72;1
120043;2020;12;70;2
120043;2020;12;72;1
120043;2021;12;70;3
120043;2021;12;72;1
120043;2022;12;70;3
120043;2022;12;72;1
120045;2020;12;70;8
120045;2020;12;72;1
120045;2021;12;70;8
120045;2021;12;72;1
120045;2022;12;70;8
120045;2022;12;72;1
120050;2020;12;70;16
120050;2020;12;72;1
120050;2021;12;70;16
120050;2021;12;72;1
120050;2022;12;70;16
120050;2022;12;72;1
120060;2020;12;70;10
120060;2021;12;70;10
120060;2022;12;70;10
120070;2020;12;70;6
120070;2020;12;72;1
120070;2021;12;70;6
120070;2021;12;72;1
120070;2022;12;70;6
120070;2022;12;72;1
120080;2020;12;70;5
120080;2020;12;72;1
120080;2021;12;70;5
120080;2021;12;72;1
120080;2022;12;70;5
120080;2022;12;72;1
130002;2020;12;70;5
130002;2020;12;72;1
130002;2021;12;70;5
130002;2021;12;72;1
130002;2022;12;70;5
130002;2022;12;72;1
130006;2020;12;70;3
130006;2021;12;70;4
130006;2022;12;70;4
130008;2020;12;70;5
130008;2020;12;72;1
130008;2021;12;70;6
130008;2021;12;72;1
130008;2022;12;70;6
130008;2022;12;72;1
130010;2020;12;70;10
130010;2020;12;72;1
130010;2021;12;70;8
130010;2021;12;72;1
130010;2022;12;70;10
130010;2022;12;72;1
130014;2020;12;70;9
130014;2021;12;70;9
130014;2022;12;70;9
130020;2020;12;70;8
130020;2020;12;72;1
130020;2021;12;70;8
130020;2021;12;72;1
130020;2022;12;70;8
130020;2022;12;72;1
130030;2020;12;70;17
130030;2020;12;72;3
130030;2021;12;70;18
130030;2021;12;72;3
130030;2022;12;70;18
130030;2022;12;72;3
130040;2020;12;70;8
130040;2021;12;70;9
130040;2022;12;70;9
130050;2020;12;70;11
130050;2021;12;70;11
130050;2022;12;70;11
130060;2020;12;70;10
130060;2021;12;70;10
130060;2022;12;70;10
130063;2020;12;70;4
130063;2021;12;70;4
130063;2022;12;70;4
130068;2020;12;70;6
130068;2020;12;72;1
130068;2021;12;70;6
130068;2021;12;72;1
130068;2022;12;70;7
130068;2022;12;72;1
130070;2020;12;70;9
130070;2020;12;72;1
130070;2021;12;70;9
130070;2021;12;72;1
130070;2022;12;70;9
130070;2022;12;72;1
130080;2020;12;70;12
130080;2020;12;72;1
130080;2021;12;70;12
130080;2021;12;72;1
130080;2022;12;70;12
130080;2022;12;72;1
130083;2020;12;70;6
130083;2020;12;72;1
130083;2021;12;70;6
130083;2021;12;72;1
130083;2022;12;70;6
130083;2022;12;72;1
130090;2020;12;70;6
130090;2020;12;72;1
130090;2021;12;70;6
130090;2021;12;72;1
130090;2022;12;70;6
130090;2022;12;72;1
130100;2020;12;70;9
130100;2020;12;72;1
130100;2021;12;70;9
130100;2021;12;72;1
130100;2022;12;70;8
130100;2022;12;72;1
130110;2020;12;70;13
130110;2020;12;72;2
130110;2021;12;70;13
130110;2021;12;72;2
130110;2022;12;70;14
130110;2022;12;72;2
130115;2020;12;70;10
130115;2020;12;72;1
130115;2021;12;70;10
130115;2021;12;72;1
130115;2022;12;70;10
130115;2022;12;72;1
130120;2020;12;70;32
130120;2020;12;72;3
130120;2021;12;70;32
130120;2021;12;72;3
130120;2022;12;70;32
130120;2022;12;72;3
130130;2020;12;70;9
130130;2021;12;70;10
130130;2022;12;70;10
130140;2020;12;70;9
130140;2020;12;72;1
130140;2021;12;70;10
130140;2021;12;72;1
130140;2022;12;70;11
130140;2022;12;72;1
130150;2020;12;70;8
130150;2020;12;72;1
130150;2021;12;70;8
130150;2021;12;72;1
130150;2022;12;70;8
130150;2022;12;72;1
130160;2020;12;70;11
130160;2021;12;70;11
130160;2022;12;70;11
130165;2020;12;70;8
130165;2020;12;72;1
130165;2021;12;70;8
130165;2022;12;70;8
130170;2020;12;70;14
130170;2020;12;72;1
130170;2021;12;70;14
130170;2021;12;72;1
130170;2022;12;70;15
130170;2022;12;72;1
130180;2020;12;70;7
130180;2020;12;72;1
130180;2021;12;70;8
130180;2021;12;72;1
130180;2022;12;70;8
130180;2022;12;72;1
130185;2020;12;70;23
130185;2020;12;72;4
130185;2021;12;70;24
130185;2021;12;72;4
130185;2022;12;70;24
130185;2022;12;72;4
130190;2020;12;70;30
130190;2020;12;72;5
130190;2021;12;70;31
130190;2021;12;72;5
130190;2022;12;70;31
130190;2022;12;72;5
130195;2020;12;70;5
130195;2021;12;70;5
130195;2022;12;70;5
130200;2020;12;70;4
130200;2020;12;72;1
130200;2021;12;70;4
130200;2021;12;72;1
130200;2022;12;70;4
130200;2022;12;72;1
130210;2020;12;70;5
130210;2020;12;72;1
130210;2021;12;70;5
130210;2021;12;72;1
130210;2022;12;70;6
130210;2022;12;72;1
130220;2020;12;70;6
130220;2021;12;70;6
130220;2022;12;70;7
130230;2020;12;70;10
130230;2020;12;72;1
130230;2021;12;70;10
130230;2021;12;72;1
130230;2022;12;70;10
130230;2022;12;72;1
130240;2020;12;70;13
130240;2020;12;72;1
