ESTADO_CODIGO;MUNICIPIO_CODIGO;SERVICO_ESPECIALIZADO_CODIGO;SERVICO_ESPECIALIZADO_CLASSIFICACAO_CODIGO;ANO;TOTAL_SERVICO_HOSPITALAR_SAUDE_MENTAL
11;110001;115;2;2018;1
11;110001;115;2;2019;1
11;110001;115;2;2020;1
11;110001;115;2;2021;1
11;110001;115;2;2022;1
11;110002;115;2;2018;3
11;110002;115;2;2019;3
11;110002;115;2;2020;4
11;110002;115;2;2021;4
11;110002;115;2;2022;4
11;110002;115;3;2018;1
11;110002;115;3;2019;1
11;110002;115;3;2020;1
11;110002;115;3;2021;1
11;110002;115;3;2022;1
11;110003;115;2;2021;1
11;110003;115;2;2022;1
11;110004;115;2;2018;6
11;110004;115;2;2019;7
11;110004;115;2;2020;8
11;110004;115;2;2021;8
11;110004;115;2;2022;7
11;110004;115;3;2018;1
11;110004;115;3;2019;1
11;110004;115;3;2020;1
11;110004;115;3;2021;1
11;110004;115;3;2022;1
11;110005;115;2;2018;1
11;110005;115;2;2019;1
11;110005;115;2;2020;1
11;110005;115;2;2021;1
11;110005;115;2;2022;1
11;110006;115;2;2018;3
11;110006;115;2;2019;3
11;110006;115;2;2020;3
11;110006;115;2;2021;3
11;110006;115;2;2022;3
11;110006;115;3;2018;1
11;110006;115;3;2019;1
11;110006;115;3;2020;1
11;110006;115;3;2021;1
11;110006;115;3;2022;1
11;110008;115;2;2021;1
11;110009;115;2;2018;3
11;110009;115;2;2019;2
11;110009;115;2;2020;3
11;110009;115;2;2021;3
11;110009;115;2;2022;3
11;110009;115;3;2019;1
11;110009;115;3;2020;1
11;110009;115;3;2021;1
11;110009;115;3;2022;1
11;110010;115;2;2018;1
11;110010;115;2;2019;1
11;110010;115;2;2020;1
11;110010;115;2;2021;1
11;110010;115;2;2022;1
11;110011;115;2;2018;5
11;110011;115;2;2019;5
11;110011;115;2;2020;5
11;110011;115;2;2021;5
11;110011;115;2;2022;7
11;110011;115;3;2018;1
11;110011;115;3;2019;1
11;110011;115;3;2020;1
11;110011;115;3;2021;1
11;110011;115;3;2022;1
11;110012;115;2;2018;4
11;110012;115;2;2019;4
11;110012;115;2;2020;4
11;110012;115;2;2021;4
11;110012;115;2;2022;4
11;110012;115;3;2018;1
11;110012;115;3;2019;1
11;110012;115;3;2020;1
11;110012;115;3;2021;1
11;110012;115;3;2022;1
11;110013;115;2;2018;1
11;110013;115;2;2019;1
11;110013;115;2;2020;1
11;110013;115;2;2021;1
11;110013;115;2;2022;1
11;110014;115;2;2018;1
11;110014;115;2;2019;1
11;110014;115;2;2020;1
11;110014;115;2;2021;1
11;110015;115;2;2018;4
11;110015;115;2;2019;4
11;110015;115;2;2020;4
11;110015;115;2;2021;4
11;110015;115;2;2022;4
11;110018;115;2;2018;1
11;110018;115;2;2019;1
11;110018;115;2;2020;1
11;110018;115;2;2021;1
11;110018;115;2;2022;1
11;110020;115;2;2018;18
11;110020;115;2;2019;15
11;110020;115;2;2020;22
11;110020;115;2;2021;26
11;110020;115;2;2022;28
11;110020;115;3;2018;2
11;110020;115;3;2019;3
11;110020;115;3;2020;3
11;110020;115;3;2021;3
11;110020;115;3;2022;3
11;110025;115;2;2018;1
11;110025;115;2;2019;1
11;110025;115;2;2020;1
11;110025;115;2;2021;1
11;110025;115;2;2022;1
11;110028;115;2;2018;5
11;110028;115;2;2019;4
11;110028;115;2;2020;4
11;110028;115;2;2021;3
11;110028;115;2;2022;3
11;110028;115;3;2018;1
11;110028;115;3;2019;1
11;110028;115;3;2020;1
11;110028;115;3;2021;1
11;110028;115;3;2022;1
11;110029;115;2;2022;1
11;110030;115;2;2018;11
11;110030;115;2;2019;12
11;110030;115;2;2020;11
11;110030;115;2;2021;12
11;110030;115;2;2022;32
11;110030;115;3;2018;1
11;110030;115;3;2019;1
11;110030;115;3;2020;1
11;110030;115;3;2021;1
11;110030;115;3;2022;1
11;110032;115;2;2018;1
11;110032;115;2;2019;1
11;110032;115;2;2020;1
11;110032;115;2;2021;1
11;110032;115;2;2022;2
11;110033;115;2;2018;1
11;110033;115;2;2019;1
11;110033;115;2;2020;1
11;110033;115;2;2021;1
11;110033;115;2;2022;1
11;110033;115;3;2022;1
11;110034;115;2;2018;1
11;110034;115;2;2019;1
11;110034;115;2;2020;1
11;110034;115;2;2021;2
11;110034;115;2;2022;2
11;110037;115;2;2022;1
11;110040;115;2;2018;2
11;110040;115;2;2019;2
11;110040;115;2;2020;2
11;110040;115;2;2021;2
11;110040;115;2;2022;1
11;110045;115;2;2018;1
11;110045;115;2;2019;2
11;110045;115;2;2020;2
11;110045;115;2;2021;2
11;110045;115;2;2022;2
11;110045;115;3;2018;1
11;110045;115;3;2019;1
11;110045;115;3;2020;1
11;110045;115;3;2021;1
11;110045;115;3;2022;1
11;110050;115;2;2020;1
11;110050;115;2;2021;1
11;110050;115;3;2020;1
11;110080;115;2;2019;1
11;110080;115;2;2020;1
11;110080;115;2;2021;1
11;110080;115;2;2022;1
11;110090;115;2;2018;1
11;110090;115;2;2019;1
11;110090;115;2;2020;1
11;110092;115;2;2018;1
11;110092;115;2;2019;1
11;110092;115;2;2020;1
11;110092;115;2;2021;1
11;110094;115;2;2018;1
11;110094;115;2;2019;1
11;110094;115;2;2020;1
11;110094;115;2;2021;1
11;110094;115;2;2022;1
11;110130;115;2;2022;1
11;110140;115;2;2021;2
11;110140;115;2;2022;2
11;110145;115;2;2020;1
11;110149;115;2;2018;2
11;110149;115;2;2019;2
11;110149;115;2;2020;2
11;110149;115;2;2021;2
11;110149;115;2;2022;2
11;110149;115;3;2018;1
11;110149;115;3;2019;1
11;110149;115;3;2020;1
11;110149;115;3;2021;1
11;110149;115;3;2022;1
11;110170;115;3;2018;1
11;110170;115;3;2019;1
11;110170;115;3;2022;1
12;120001;115;2;2018;2
12;120001;115;2;2019;2
12;120001;115;2;2020;2
12;120001;115;2;2021;2
12;120001;115;2;2022;2
12;120010;115;2;2018;2
12;120010;115;2;2019;2
12;120010;115;2;2020;2
12;120010;115;2;2021;2
12;120010;115;2;2022;2
12;120017;115;2;2018;1
12;120017;115;2;2019;1
12;120017;115;2;2020;1
12;120017;115;2;2021;1
12;120017;115;2;2022;1
12;120020;115;2;2018;5
12;120020;115;2;2019;4
12;120020;115;2;2020;3
12;120020;115;2;2021;3
12;120020;115;2;2022;3
12;120020;115;3;2018;1
12;120020;115;3;2019;1
12;120020;115;3;2020;1
12;120020;115;3;2021;1
12;120020;115;3;2022;1
12;120025;115;2;2018;1
12;120025;115;2;2019;1
12;120025;115;2;2020;1
12;120025;115;2;2021;1
12;120025;115;2;2022;1
12;120033;115;2;2018;1
12;120033;115;2;2019;1
12;120033;115;2;2020;1
12;120033;115;2;2021;1
12;120033;115;2;2022;1
12;120034;115;2;2021;1
12;120034;115;2;2022;1
12;120040;115;2;2018;17
12;120040;115;2;2019;20
12;120040;115;2;2020;20
12;120040;115;2;2021;17
12;120040;115;2;2022;21
12;120040;115;3;2018;1
12;120040;115;3;2019;1
12;120040;115;3;2020;1
12;120040;115;3;2021;1
12;120040;115;3;2022;1
12;120050;115;2;2018;1
12;120050;115;2;2019;1
12;120050;115;2;2020;1
12;120050;115;2;2021;1
12;120050;115;2;2022;1
12;120060;115;2;2018;1
12;120060;115;2;2019;1
12;120060;115;2;2020;1
12;120060;115;2;2021;1
12;120060;115;2;2022;2
13;130014;115;2;2018;1
13;130014;115;2;2019;1
13;130014;115;2;2020;1
13;130014;115;2;2021;1
13;130014;115;2;2022;1
13;130030;115;2;2018;2
13;130030;115;2;2019;2
13;130030;115;2;2020;2
13;130030;115;2;2021;2
13;130030;115;2;2022;2
13;130040;115;3;2018;1
13;130040;115;3;2019;1
13;130040;115;3;2020;1
13;130040;115;3;2021;1
13;130040;115;3;2022;1
13;130050;115;3;2022;1
13;130070;115;2;2018;1
13;130070;115;2;2019;1
13;130070;115;2;2020;2
13;130070;115;2;2021;3
13;130070;115;2;2022;4
13;130080;115;2;2018;1
13;130080;115;2;2019;1
13;130080;115;2;2020;1
13;130080;115;2;2021;2
13;130080;115;2;2022;2
13;130080;115;3;2018;1
13;130080;115;3;2019;1
13;130080;115;3;2020;1
13;130080;115;3;2021;1
13;130080;115;3;2022;1
13;130100;115;2;2019;1
13;130100;115;2;2020;1
13;130100;115;2;2021;1
13;130100;115;3;2020;1
13;130100;115;3;2021;1
13;130100;115;3;2022;1
13;130110;115;2;2022;1
13;130115;115;2;2019;1
13;130115;115;2;2020;1
13;130115;115;2;2021;1
13;130115;115;2;2022;1
13;130120;115;2;2018;2
13;130120;115;2;2019;1
13;130120;115;2;2020;1
13;130120;115;2;2021;2
13;130120;115;2;2022;2
13;130120;115;3;2018;1
13;130120;115;3;2019;1
13;130120;115;3;2020;1
13;130120;115;3;2021;1
13;130120;115;3;2022;1
13;130130;115;2;2018;1
13;130130;115;2;2019;1
13;130130;115;2;2020;1
13;130130;115;2;2021;1
13;130130;115;2;2022;1
13;130140;115;2;2018;2
13;130140;115;2;2019;2
13;130140;115;2;2020;2
13;130140;115;2;2021;2
13;130140;115;2;2022;2
13;130160;115;2;2020;1
13;130160;115;2;2021;1
13;130160;115;2;2022;1
13;130165;115;2;2018;1
13;130165;115;2;2019;1
13;130165;115;2;2020;1
13;130165;115;2;2021;1
13;130165;115;2;2022;1
13;130165;115;3;2022;1
13;130170;115;2;2018;2
13;130170;115;2;2019;3
13;130170;115;2;2020;4
13;130170;115;2;2021;4
13;130170;115;2;2022;4
13;130170;115;3;2020;1
13;130170;115;3;2021;1
13;130170;115;3;2022;1
13;130185;115;2;2018;1
13;130185;115;2;2019;1
13;130185;115;2;2020;1
13;130185;115;2;2021;1
13;130185;115;2;2022;1
13;130190;115;2;2018;6
13;130190;115;2;2019;6
13;130190;115;2;2020;7
