MUNICIPIO_CODIGO;MUNICIPIO_NOME;ESTADO_CODIGO;ESTADO_SIGLA;ESTADO_NOME;REGIAO_SAUDE_CODIGO;REGIAO_SAUDE_NOME;ANO;MES;MUNICIPIO_POPULACAO;TIPO;MUNICIPIO_QTDE_CAPS;MUNICIPIO_IC
110001;Alta Floresta D'Oeste;11;RO;Rondônia;11005;Zona da Mata;2018;12;21558;CAPS I;1;2,3193246126727898
110001;Alta Floresta D'Oeste;11;RO;Rondônia;11005;Zona da Mata;2019;12;21558;CAPS I;1;2,3193246126727898
110001;Alta Floresta D'Oeste;11;RO;Rondônia;11005;Zona da Mata;2020;12;21558;CAPS I;1;2,3193246126727898
110001;Alta Floresta D'Oeste;11;RO;Rondônia;11005;Zona da Mata;2021;12;21558;CAPS I;1;2,3193246126727898
110001;Alta Floresta D'Oeste;11;RO;Rondônia;11005;Zona da Mata;2022;12;21558;CAPS I;1;2,3193246126727898
110002;Ariquemes;11;RO;Rondônia;11001;Vale do Jamari;2018;12;100896;CAPS II;1;0,9911195686647637
110002;Ariquemes;11;RO;Rondônia;11001;Vale do Jamari;2019;12;100896;CAPS II;1;0,9911195686647637
110002;Ariquemes;11;RO;Rondônia;11001;Vale do Jamari;2020;12;100896;CAPS II;1;0,9911195686647637
110002;Ariquemes;11;RO;Rondônia;11001;Vale do Jamari;2021;12;100896;CAPS II;1;0,9911195686647637
110002;Ariquemes;11;RO;Rondônia;11001;Vale do Jamari;2022;12;100896;CAPS II;1;0,9911195686647637
110004;Cacoal;11;RO;Rondônia;11002;Café;2018;12;92202;CAPS II;1;1,0845751719051648
110004;Cacoal;11;RO;Rondônia;11002;Café;2019;12;92202;CAPS II;1;1,0845751719051648
110004;Cacoal;11;RO;Rondônia;11002;Café;2020;12;92202;CAPS II;1;1,0845751719051648
110004;Cacoal;11;RO;Rondônia;11002;Café;2021;12;92202;CAPS II;1;1,0845751719051648
110004;Cacoal;11;RO;Rondônia;11002;Café;2022;12;92202;CAPS II;1;1,0845751719051648
110005;Cerejeiras;11;RO;Rondônia;11006;Cone Sul;2018;12;15237;CAPS I;1;3,2814858567959573
110005;Cerejeiras;11;RO;Rondônia;11006;Cone Sul;2019;12;15237;CAPS I;1;3,2814858567959573
110005;Cerejeiras;11;RO;Rondônia;11006;Cone Sul;2020;12;15237;CAPS I;1;3,2814858567959573
110005;Cerejeiras;11;RO;Rondônia;11006;Cone Sul;2021;12;15237;CAPS I;1;3,2814858567959573
110005;Cerejeiras;11;RO;Rondônia;11006;Cone Sul;2022;12;15237;CAPS I;1;3,2814858567959573
110006;Colorado do Oeste;11;RO;Rondônia;11006;Cone Sul;2018;12;15747;CAPS I;1;3,175207976122436
110006;Colorado do Oeste;11;RO;Rondônia;11006;Cone Sul;2019;12;15747;CAPS II;1;6,350415952244872
110006;Colorado do Oeste;11;RO;Rondônia;11006;Cone Sul;2020;12;15747;CAPS II;1;6,350415952244872
110006;Colorado do Oeste;11;RO;Rondônia;11006;Cone Sul;2021;12;15747;CAPS II;1;6,350415952244872
110006;Colorado do Oeste;11;RO;Rondônia;11006;Cone Sul;2022;12;15747;CAPS II;1;6,350415952244872
110009;Espigão D'Oeste;11;RO;Rondônia;11002;Café;2018;12;29722;CAPS I;1;1,682255568265931
110009;Espigão D'Oeste;11;RO;Rondônia;11002;Café;2019;12;29722;CAPS I;1;1,682255568265931
110009;Espigão D'Oeste;11;RO;Rondônia;11002;Café;2020;12;29722;CAPS I;1;1,682255568265931
110009;Espigão D'Oeste;11;RO;Rondônia;11002;Café;2021;12;29722;CAPS I;1;1,682255568265931
110009;Espigão D'Oeste;11;RO;Rondônia;11002;Café;2022;12;29722;CAPS I;1;1,682255568265931
110010;Guajará-Mirim;11;RO;Rondônia;11004;Madeira-Mamoré;2018;12;39396;CAPS I;1;1,2691643821707788
110010;Guajará-Mirim;11;RO;Rondônia;11004;Madeira-Mamoré;2019;12;39396;CAPS I;1;1,2691643821707788
110010;Guajará-Mirim;11;RO;Rondônia;11004;Madeira-Mamoré;2020;12;39396;CAPS I;1;1,2691643821707788
110010;Guajará-Mirim;11;RO;Rondônia;11004;Madeira-Mamoré;2021;12;39396;CAPS I;1;1,2691643821707788
110010;Guajará-Mirim;11;RO;Rondônia;11004;Madeira-Mamoré;2022;12;39396;CAPS I;1;1,2691643821707788
110011;Jaru;11;RO;Rondônia;11003;Central;2018;12;52090;CAPS I;1;0,959877135726627
110011;Jaru;11;RO;Rondônia;11003;Central;2019;12;52090;CAPS I;1;0,959877135726627
110011;Jaru;11;RO;Rondônia;11003;Central;2020;12;52090;CAPS I;1;0,959877135726627
110011;Jaru;11;RO;Rondônia;11003;Central;2021;12;52090;CAPS I;1;0,959877135726627
110011;Jaru;11;RO;Rondônia;11003;Central;2022;12;52090;CAPS I;1;0,959877135726627
110012;Ji-Paraná;11;RO;Rondônia;11003;Central;2018;12;136825;CAPS ALCOOL E DROGA;1;0,7308605883427736
110012;Ji-Paraná;11;RO;Rondônia;11003;Central;2018;12;136825;CAPS II;1;0,7308605883427736
110012;Ji-Paraná;11;RO;Rondônia;11003;Central;2019;12;136825;CAPS ALCOOL E DROGA;1;0,7308605883427736
110012;Ji-Paraná;11;RO;Rondônia;11003;Central;2019;12;136825;CAPS II;1;0,7308605883427736
110012;Ji-Paraná;11;RO;Rondônia;11003;Central;2020;12;136825;CAPS ALCOOL E DROGA;1;0,7308605883427736
110012;Ji-Paraná;11;RO;Rondônia;11003;Central;2020;12;136825;CAPS II;1;0,7308605883427736
110012;Ji-Paraná;11;RO;Rondônia;11003;Central;2021;12;136825;CAPS ALCOOL E DROGA;1;0,7308605883427736
110012;Ji-Paraná;11;RO;Rondônia;11003;Central;2021;12;136825;CAPS II;1;0,7308605883427736
110012;Ji-Paraná;11;RO;Rondônia;11003;Central;2022;12;136825;CAPS ALCOOL E DROGA;1;0,7308605883427736
110012;Ji-Paraná;11;RO;Rondônia;11003;Central;2022;12;136825;CAPS II;1;0,7308605883427736
110013;Machadinho D'Oeste;11;RO;Rondônia;11001;Vale do Jamari;2018;12;30626;CAPS I;1;1,6325997518448376
110013;Machadinho D'Oeste;11;RO;Rondônia;11001;Vale do Jamari;2019;12;30626;CAPS I;1;1,6325997518448376
110013;Machadinho D'Oeste;11;RO;Rondônia;11001;Vale do Jamari;2020;12;30626;CAPS I;1;1,6325997518448376
110013;Machadinho D'Oeste;11;RO;Rondônia;11001;Vale do Jamari;2021;12;30626;CAPS I;1;1,6325997518448376
110013;Machadinho D'Oeste;11;RO;Rondônia;11001;Vale do Jamari;2022;12;30626;CAPS I;1;1,6325997518448376
110015;Ouro Preto do Oeste;11;RO;Rondônia;11003;Central;2018;12;36753;CAPS II;1;2,7208663238375097
110015;Ouro Preto do Oeste;11;RO;Rondônia;11003;Central;2019;12;36753;CAPS II;1;2,7208663238375097
110015;Ouro Preto do Oeste;11;RO;Rondônia;11003;Central;2020;12;36753;CAPS I;1;1,3604331619187549
110015;Ouro Preto do Oeste;11;RO;Rondônia;11003;Central;2021;12;36753;CAPS I;1;1,3604331619187549
