MUNICIPIO_NOME;MUNICIPIO_POPULACAO
Plano Piloto;217073
Gama;132404
Taguatinga;210142
Brazlandia;53534
Sobradinho;69363
Planaltina;130204
Paranoa;65519
Nucleo Bandeirante;24786
Ceilandia;349955
Guara;133748
Cruzeiro;31079
Samambaia;231942
Santa Maria;126262
Sao Sebastiao;92750
Recanto das Emas;101058
Lago Sul;29662
Riacho Fundo;42022
Lago Norte;36474
Candangolandia;16489
Aguas Claras;117346
Riacho Fundo II;85047
Sudoeste/Octogonal;54559
Varjao;8891
Park Way;21511
SCIA;35520
Sobradinho II;76125
Jardim Botanico;51650
Itapoa;62234
SIA;1926
Vicente Pires;66753
Fercal;8687
Sol Nascente/Por do Sol;83102
