ESTADO_NOME;ESTADO_POPULACAO;ESTADO_CODIGO;ESTADO_SIGLA
Rondônia;1616379;11;RO
Acre;829780;12;AC
Amazonas;3952262;13;AM
Roraima;634805;14;RR
Pará;8442962;15;PA
Amapá;774268;16;AP
Tocantins;1584306;17;TO
Maranhão;6800605;21;MA
Piauí;3270174;22;PI
Ceará;8936431;23;CE
Rio Grande do Norte;3303953;24;RN
Paraíba;4030961;25;PB
Pernambuco;9051113;26;PE
Alagoas;3125254;27;AL
Sergipe;2211868;28;SE
Bahia;14659023;29;BA
Minas Gerais;20732660;31;MG
Espírito Santo;3975100;32;ES
Rio de Janeiro;16615526;33;RJ
São Paulo;46024937;35;SP
Paraná;11835379;41;PR
Santa Catarina;7762154;42;SC
Rio Grande do Sul;11088065;43;RS
Mato Grosso do Sul;2833742;50;MS
Mato Grosso;3784239;51;MT
Goiás;6950976;52;GO
Distrito Federal;2923369;53;DF
