ESTADO_CODIGO;DIAG_PRINC;ANO_CMPT;MES_CMPT;TOTAL
53;F00;2018;1;2
53;F00;2018;6;2
53;F00;2018;7;1
53;F00;2018;8;2
53;F00;2018;9;5
53;F00;2018;10;4
53;F00;2018;12;1
53;F00;2019;1;4
53;F00;2019;2;1
53;F00;2019;3;1
53;F00;2019;4;2
53;F00;2019;5;2
53;F00;2019;6;2
53;F00;2019;7;1
53;F00;2019;8;2
53;F00;2019;10;1
53;F00;2020;1;4
53;F00;2020;2;4
53;F00;2020;5;1
53;F00;2020;6;1
53;F00;2020;9;4
53;F00;2020;10;3
53;F00;2020;11;1
53;F00;2020;12;2
53;F00;2021;1;2
53;F00;2021;2;3
53;F00;2021;3;2
53;F00;2021;5;3
53;F00;2021;7;1
53;F00;2021;8;1
53;F00;2021;9;1
53;F00;2022;1;1
53;F00;2022;6;1
53;F00;2022;7;2
53;F00;2022;8;1
53;F00;2022;9;1
53;F01;2018;1;7
53;F01;2018;2;1
53;F01;2018;3;10
53;F01;2018;4;10
53;F01;2018;5;10
53;F01;2018;6;10
53;F01;2018;7;7
53;F01;2018;8;4
53;F01;2018;9;3
53;F01;2018;10;8
53;F01;2018;11;4
53;F01;2018;12;3
53;F01;2019;1;4
53;F01;2019;2;5
53;F01;2019;3;7
53;F01;2019;4;6
53;F01;2019;5;6
53;F01;2019;6;10
53;F01;2019;7;9
53;F01;2019;8;5
53;F01;2019;9;3
53;F01;2019;10;4
53;F01;2019;11;4
53;F01;2019;12;5
53;F01;2020;1;3
53;F01;2020;2;2
53;F01;2020;3;3
53;F01;2020;4;8
53;F01;2020;5;6
53;F01;2020;6;7
53;F01;2020;7;9
53;F01;2020;8;4
53;F01;2020;9;7
53;F01;2020;10;7
53;F01;2020;11;10
53;F01;2020;12;4
53;F01;2021;1;5
53;F01;2021;2;8
53;F01;2021;3;7
53;F01;2021;4;9
53;F01;2021;5;8
53;F01;2021;6;8
53;F01;2021;7;5
53;F01;2021;8;4
53;F01;2021;9;3
53;F01;2021;10;8
53;F01;2021;11;6
53;F01;2021;12;5
53;F01;2022;1;6
53;F01;2022;2;8
53;F01;2022;3;5
53;F01;2022;4;3
53;F01;2022;5;6
53;F01;2022;6;7
53;F01;2022;7;1
53;F01;2022;8;3
53;F01;2022;9;4
53;F01;2022;10;1
53;F01;2022;11;4
53;F01;2022;12;7
53;F02;2018;3;1
53;F02;2018;11;5
53;F02;2019;2;1
53;F02;2019;8;1
53;F02;2020;2;2
53;F02;2020;9;1
53;F02;2020;10;1
53;F02;2020;11;1
53;F02;2021;2;5
53;F02;2021;4;3
53;F02;2021;5;3
53;F02;2021;6;1
53;F02;2021;7;3
53;F02;2021;8;1
53;F02;2021;9;2
53;F02;2022;2;2
53;F02;2022;3;1
53;F02;2022;4;2
53;F02;2022;5;2
53;F02;2022;7;2
53;F02;2022;8;4
53;F02;2022;9;2
53;F02;2022;11;3
53;F02;2022;12;2
53;F03;2018;1;1
53;F03;2018;2;11
53;F03;2018;3;12
53;F03;2018;4;6
53;F03;2018;5;3
53;F03;2018;6;11
53;F03;2018;7;6
53;F03;2018;8;8
53;F03;2018;9;6
53;F03;2018;10;7
53;F03;2018;11;2
53;F03;2018;12;6
53;F03;2019;1;3
53;F03;2019;2;9
53;F03;2019;3;8
53;F03;2019;4;11
53;F03;2019;5;5
53;F03;2019;6;7
53;F03;2019;7;5
53;F03;2019;8;9
53;F03;2019;9;7
53;F03;2019;10;7
53;F03;2019;11;6
53;F03;2019;12;9
53;F03;2020;1;10
53;F03;2020;2;5
53;F03;2020;3;10
53;F03;2020;4;10
53;F03;2020;5;7
53;F03;2020;6;4
53;F03;2020;7;5
53;F03;2020;8;9
53;F03;2020;9;5
53;F03;2020;10;5
53;F03;2020;11;10
53;F03;2020;12;9
53;F03;2021;1;5
53;F03;2021;2;4
53;F03;2021;3;3
53;F03;2021;4;8
53;F03;2021;5;11
53;F03;2021;6;5
53;F03;2021;7;4
53;F03;2021;8;4
53;F03;2021;9;9
53;F03;2021;10;3
53;F03;2021;11;4
53;F03;2021;12;7
53;F03;2022;1;5
53;F03;2022;2;7
53;F03;2022;3;10
53;F03;2022;4;7
53;F03;2022;5;2
53;F03;2022;6;3
53;F03;2022;7;6
53;F03;2022;8;11
53;F03;2022;9;8
53;F03;2022;10;10
53;F03;2022;11;4
53;F03;2022;12;8
53;F04;2018;9;1
53;F04;2018;12;2
53;F04;2019;1;1
53;F04;2019;4;1
53;F04;2019;7;1
53;F04;2019;8;1
53;F04;2019;11;4
53;F04;2019;12;1
53;F04;2020;6;1
53;F04;2020;8;1
53;F04;2021;2;1
53;F04;2021;6;1
53;F04;2021;9;2
53;F04;2021;11;1
53;F05;2018;1;2
53;F05;2018;2;3
53;F05;2018;3;1
53;F05;2018;4;1
53;F05;2018;5;3
53;F05;2018;6;8
53;F05;2018;7;2
