MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
110002.0;02-2013;F10;1
110002.0;09-2013;F10;1
110004.0;08-2013;F10;1
110004.0;08-2013;F19;1
110004.0;12-2013;F10;1
110005.0;05-2013;F12;1
110010.0;02-2013;F10;1
110010.0;02-2013;F19;1
110010.0;06-2013;F10;1
110012.0;02-2013;F10;1
110012.0;03-2013;F10;1
110013.0;12-2013;F10;1
110014.0;12-2013;F11;1
110015.0;05-2013;F10;1
110018.0;03-2013;F10;1
110020.0;01-2013;F10;1
110020.0;06-2013;F10;1
110020.0;07-2013;F10;2
110020.0;09-2013;F10;1
110020.0;11-2013;F10;1
110028.0;12-2013;F10;1
110030.0;01-2013;F10;1
110030.0;02-2013;F10;2
110030.0;02-2013;F13;1
110030.0;03-2013;F10;2
110030.0;04-2013;F10;1
110030.0;05-2013;F10;1
110030.0;07-2013;F10;1
110032.0;11-2013;F10;1
110045.0;09-2013;F10;1
110080.0;01-2013;F10;1
110110.0;07-2013;F10;1
110160.0;09-2013;F10;1
120020.0;07-2013;F10;1
120020.0;07-2013;F19;1
120020.0;11-2013;F10;1
120030.0;02-2013;F10;1
120033.0;04-2013;F19;1
120038.0;01-2013;F10;1
120038.0;03-2013;F10;1
120040.0;01-2013;F10;1
120040.0;02-2013;F19;2
120040.0;03-2013;F10;2
120040.0;04-2013;F10;1
120040.0;05-2013;F14;1
120040.0;07-2013;F10;1
120040.0;08-2013;F14;1
120040.0;09-2013;F10;1
120040.0;11-2013;F10;2
120040.0;11-2013;F19;1
120060.0;04-2013;F10;1
120070.0;07-2013;F10;1
120070.0;08-2013;F10;1
130010.0;06-2013;F10;1
130030.0;01-2013;F10;1
130050.0;12-2013;F10;1
130060.0;04-2013;F19;1
130060.0;06-2013;F19;1
130100.0;05-2013;F10;1
130120.0;10-2013;F10;1
130130.0;05-2013;F10;1
130130.0;06-2013;F10;1
130130.0;09-2013;F10;1
130150.0;01-2013;F10;1
130150.0;02-2013;F10;1
130170.0;11-2013;F10;1
130190.0;01-2013;F10;2
130190.0;03-2013;F10;2
130190.0;10-2013;F10;1
130200.0;01-2013;F10;1
130240.0;04-2013;F10;1
130250.0;01-2013;F10;1
130250.0;05-2013;F10;1
130260.0;02-2013;F10;4
130260.0;03-2013;F10;4
130260.0;04-2013;F10;4
130260.0;05-2013;F10;4
