MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
110001;07-2021;F19;1
110004;01-2021;F10;1
110004;02-2021;F10;1
110004;03-2021;F10;1
110004;07-2021;F19;1
110004;09-2021;F19;1
110010;02-2021;F10;1
110010;06-2021;F10;1
110010;09-2021;F10;1
110010;10-2021;F10;1
110011;01-2021;F10;1
110011;08-2021;F10;1
110011;12-2021;F10;1
110012;01-2021;F10;1
110012;08-2021;F10;1
110020;01-2021;F10;1
110020;01-2021;F19;1
110020;03-2021;F10;3
110020;04-2021;F10;2
110020;07-2021;F10;2
110020;08-2021;F10;1
110020;08-2021;F14;1
110020;09-2021;F10;3
110020;11-2021;F10;2
110020;11-2021;F18;1
110030;03-2021;F10;1
110030;11-2021;F10;1
110060;02-2021;F10;1
110090;11-2021;F10;1
110170;12-2021;F10;1
120010;08-2021;F16;1
120010;11-2021;F10;1
120020;07-2021;F10;1
120030;04-2021;F10;2
120030;06-2021;F10;1
120033;04-2021;F10;1
120038;01-2021;F10;1
120040;01-2021;F19;2
120040;02-2021;F10;1
120040;03-2021;F10;1
120040;05-2021;F10;2
120040;08-2021;F14;1
120040;09-2021;F10;1
130002;11-2021;F10;1
130014;02-2021;F10;1
130050;03-2021;F10;1
130060;06-2021;F19;1
130068;11-2021;F10;1
130080;10-2021;F10;1
130090;01-2021;F10;1
130140;01-2021;F10;1
130140;02-2021;F10;2
130140;05-2021;F10;1
130160;08-2021;F10;1
130180;07-2021;F10;1
130185;02-2021;F10;1
130185;11-2021;F10;1
130190;08-2021;F19;1
130195;09-2021;F10;1
130250;02-2021;F10;1
130260;01-2021;F10;4
130260;02-2021;F10;2
130260;03-2021;F10;6
130260;04-2021;F10;1
130260;04-2021;F19;2
130260;05-2021;F10;4
130260;06-2021;F10;2
130260;07-2021;F10;3
130260;08-2021;F10;1
130260;08-2021;F19;1
130260;09-2021;F10;1
130260;09-2021;F19;1
130260;10-2021;F10;2
130260;10-2021;F19;1
130260;11-2021;F10;6
130260;12-2021;F10;5
130270;03-2021;F10;1
130320;10-2021;F10;1
130330;02-2021;F16;1
130330;08-2021;F10;1
130340;04-2021;F10;1
130340;07-2021;F10;1
130380;06-2021;F10;1
130380;11-2021;F10;2
130406;03-2021;F19;1
130406;05-2021;F10;1
130430;02-2021;F10;1
140010;02-2021;F10;1
140010;05-2021;F10;1
140010;10-2021;F10;1
140010;11-2021;F10;2
140015;05-2021;F10;1
140020;03-2021;F10;1
140047;01-2021;F10;1
150010;05-2021;F10;1
150020;05-2021;F10;1
150034;07-2021;F10;1
150060;01-2021;F10;1
150060;01-2021;F19;1
150060;03-2021;F10;1
150080;02-2021;F10;1
150080;05-2021;F10;1
150080;08-2021;F10;1
150080;12-2021;F19;1
150090;12-2021;F19;1
150140;01-2021;F10;1
150140;01-2021;F19;1
150140;03-2021;F10;1
150140;03-2021;F19;1
150140;04-2021;F10;2
150140;05-2021;F10;1
150140;06-2021;F10;1
150140;07-2021;F10;1
150140;08-2021;F10;3
150140;09-2021;F10;1
150140;09-2021;F19;1
150140;10-2021;F10;3
150140;11-2021;F19;1
150140;12-2021;F10;1
150170;08-2021;F10;1
150178;09-2021;F10;1
150180;10-2021;F10;1
150215;01-2021;F10;1
150220;02-2021;F10;1
150220;05-2021;F10;1
150220;11-2021;F10;2
150240;03-2021;F10;1
150240;04-2021;F10;2
150240;06-2021;F10;1
150240;07-2021;F10;2
150240;08-2021;F10;1
150240;11-2021;F10;1
150270;09-2021;F10;1
150285;01-2021;F10;1
150290;05-2021;F19;1
150293;07-2021;F10;1
150295;07-2021;F10;1
150295;10-2021;F10;1
150304;02-2021;F10;1
150320;02-2021;F19;1
150330;06-2021;F10;1
150340;04-2021;F10;1
150350;10-2021;F10;1
150360;08-2021;F19;1
150360;10-2021;F10;1
150380;01-2021;F10;1
150380;03-2021;F10;2
150380;06-2021;F10;1
150420;04-2021;F10;1
150420;05-2021;F10;2
150420;09-2021;F10;1
150442;04-2021;F10;1
