MUNICIPIO_CODIGO;CO_CEP;MUNICIPIO_NOME;ESTADO_CODIGO;ESTADO_SIGLA;ESTADO_NOME;REGIAO_SAUDE_CODIGO;REGIAO_SAUDE_NOME;ANO;MES;MUNICIPIO_POPULACAO;TIPO;MUNICIPIO_QTDE_CAPS;MUNICIPIO_IC
110001;76954000,0;Alta Floresta D'Oeste;11;RO;Rondônia;11005;Zona da Mata;2018;12;21558;CAPS I;1;2,3193246126727898
110002;76873512,0;Ariquemes;11;RO;Rondônia;11001;Vale do Jamari;2018;12;100896;CAPS II;1;0,9911195686647637
110004;76960970,0;Cacoal;11;RO;Rondônia;11002;Café;2018;12;92202;CAPS II;1;1,0845751719051648
110005;76997000,0;Cerejeiras;11;RO;Rondônia;11006;Cone Sul;2018;12;15237;CAPS I;1;3,2814858567959573
110006;76993000,0;Colorado do Oeste;11;RO;Rondônia;11006;Cone Sul;2018;12;15747;CAPS I;1;3,175207976122436
110009;76974000,0;Espigão D'Oeste;11;RO;Rondônia;11002;Café;2018;12;29722;CAPS I;1;1,682255568265931
110010;76850000,0;Guajará-Mirim;11;RO;Rondônia;11004;Madeira-Mamoré;2018;12;39396;CAPS I;1;1,2691643821707788
110011;76890000,0;Jaru;11;RO;Rondônia;11003;Central;2018;12;52090;CAPS I;1;0,959877135726627
110012;76900020,0;Ji-Paraná;11;RO;Rondônia;11003;Central;2018;12;136825;CAPS AD;1;0,7308605883427736
110012;76900020,0;Ji-Paraná;11;RO;Rondônia;11003;Central;2018;12;136825;CAPS II;1;0,7308605883427736
110013;76868000,0;Machadinho D'Oeste;11;RO;Rondônia;11001;Vale do Jamari;2018;12;30626;CAPS I;1;1,6325997518448376
110015;76920970,0;Ouro Preto do Oeste;11;RO;Rondônia;11003;Central;2018;12;36753;CAPS II;1;2,7208663238375097
110018;76970000,0;Pimenta Bueno;11;RO;Rondônia;11002;Café;2018;12;37464;CAPS I;1;1,3346145633141149
110020;76801039,0;Porto Velho;11;RO;Rondônia;11004;Madeira-Mamoré;2018;12;461748;CAPS IJ;1;0,21656834463820093
110020;76803894,0;Porto Velho;11;RO;Rondônia;11004;Madeira-Mamoré;2018;12;461748;CAPS II;1;0,21656834463820093
110020;76820739,0;Porto Velho;11;RO;Rondônia;11004;Madeira-Mamoré;2018;12;461748;CAPS AD;1;0,21656834463820093
110020;76820739,0;Porto Velho;11;RO;Rondônia;11004;Madeira-Mamoré;2018;12;461748;CAPS II;1;0,21656834463820093
110025;76916000,0;Presidente Médici;11;RO;Rondônia;11003;Central;2018;12;19316;CAPS I;1;2,5885276454752537
110028;76940000,0;Rolim de Moura;11;RO;Rondônia;11005;Zona da Mata;2018;12;57180;CAPS I;1;0,8744316194473593
110030;76988004,0;Vilhena;11;RO;Rondônia;11006;Cone Sul;2018;12;95599;CAPS I;1;0,5230180232010795
110033;76857000,0;Nova Mamoré;11;RO;Rondônia;11004;Madeira-Mamoré;2018;12;25452;CAPS I;1;1,9644821625019644
110045;76880000,0;Buritis;11;RO;Rondônia;11001;Vale do Jamari;2018;12;28178;CAPS I;1;1,7744339555681738
120010;69932000,0;Brasiléia;12;AC;Acre;12001;Alto Acre;2018;12;25786;CAPS I;1;1,93903668657411
120017;69931000,0;Capixaba;12;AC;Acre;12002;Baixo Acre e Purus;2018;12;9737;CAPS I;1;5,1350518640238265
120020;69980000,0;Cruzeiro do Sul;12;AC;Acre;12003;Juruá e Tarauacá/Envira;2018;12;94345;CAPS II;1;1,0599395834437437
120025;69934000,0;Epitaciolândia;12;AC;Acre;12001;Alto Acre;2018;12;18697;CAPS I;1;2,674225811627534
120033;69990000,0;Mâncio Lima;12;AC;Acre;12003;Juruá e Tarauacá/Envira;2018;12;19172;CAPS I;1;2,6079699561861047
120040;69900460,0;Rio Branco;12;AC;Acre;12002;Baixo Acre e Purus;2018;12;364368;CAPS II;1;0,2744478110042594
120040;69918452,0;Rio Branco;12;AC;Acre;12002;Baixo Acre e Purus;2018;12;364368;CAPS AD;1;0,2744478110042594
120050;69940000,0;Sena Madureira;12;AC;Acre;12002;Baixo Acre e Purus;2018;12;39746;CAPS I;1;1,257988225230212
130014;69265000,0;Apuí;13;AM;Amazonas;13003;Rio Madeira;2018;12;21403;CAPS I;1;2,336121104518058
130030;69240000,0;Autazes;13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;2018;12;41672;CAPS I;1;1,1998464196582836
