CO_UNIDADE;CO_CNES;NO_FANTASIA;CO_CEP;TP_UNIDADE;ESTADO_CODIGO;CO_TIPO_ESTABELECIMENTO;ANO;MES;CO_SUB_TIPO_UNIDADE;TIPO;MUNICIPIO_CODIGO;ESTADO_NOME;ESTADO_POPULACAO;MUNICIPIO_NOME;MUNICIPIO_POPULACAO;ESTADO_SIGLA;REGIAO_SAUDE_CODIGO;REGIAO_SAUDE_NOME;REGIAO_SAUDE_POPULACAO
2928203855821;3855821;CAPS I CENTRO ATENCAO PSIQUICO SOCIAL;47700000;70;29;;2018;12;1;CAPS I;292820;Bahia;14659023;Santana;24778;BA;29021;Santa Maria da Vitória;303094
5007903935698;3935698;CENTRO DE ATENCAO PSICOSSOCIAL DE SIDROLANDIA;79170000;70;50;;2018;12;1;CAPS I;500790;Mato Grosso do Sul;2833742;Sidrolândia;51075;MS;50001;Campo Grande;1549444
2107603937461;3937461;CENTRO DE ATENDIMENTO PSICOSSOCIAL CAPS 1;65238000;70;21;;2018;12;1;CAPS I;210760;Maranhão;6800605;Palmeirândia;21056;MA;21018;Viana;255905
2703203931927;3931927;CAPS MUNICIPAL DE IGREJA NOVA;57280000;70;27;;2018;12;1;CAPS I;270320;Alagoas;3125254;Igreja Nova;21227;AL;27006;6ª Região de Saúde;185604
3518802090562;2090562;CAPS II DR OSORIO CESAR;7021250;70;35;;2018;12;2;CAPS II;351880;São Paulo;46024937;Guarulhos;1383272;SP;35011;Alto do Tietê;3106798
4216607745508;7745508;CAPS AD;88113827;70;42;;2018;12;0;;421660;Santa Catarina;7762154;São José;287409;SC;42007;Grande Florianópolis;1426392
2601907734999;7734999;CAPS BEZERROS;55660000;70;26;0;2018;12;2;CAPS II;260190;Pernambuco;9051113;Bezerros;61398;PE;26003;Caruaru;1330571
5213807741960;7741960;CAPS AD CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS MHOS;75650000;70;52;;2018;12;0;;521380;Goiás;6950976;Morrinhos;49965;GO;52017;Sul;266478
4318802233142;2233142;CAPS CENTRO COMUNIT DE SAUDE MENTAL SAO LOURENCO DO SUL;96170000;70;43;;2018;12;1;CAPS I;431880;Rio Grande do Sul;11088065;São Lourenço do Sul;41756;RS;43021;Região 21 - Sul;815309
3138807792948;7792948;CAPS DE LUZ;35595000;70;31;17;2018;12;1;CAPS I;313880;Minas Gerais;20732660;Luz;17972;MG;31028;Bom Despacho;110137
4313103166422;3166422;CAPS AD NOVA PALMA;97250000;70;43;;2018;12;5;CAPS ALCOOL E DROGA;431310;Rio Grande do Sul;11088065;Nova Palma;5328;RS;43001;Região 01 - Verdes Campos;461625
4314902264323;2264323;CAPS II CENTRO;90050130;70;43;;2018;12;2;CAPS II;431490;Rio Grande do Sul;11088065;Porto Alegre;1404269;RS;43010;Região 10 - Capital e Vale do Gravataí;2235272
2607007819749;7819749;CENTRO DE ATENCAO PSICOSSOCIAL DE INAJA;56560000;70;26;;2018;12;1;CAPS I;260700;Pernambuco;9051113;Inajá;23871;PE;26002;Arcoverde;410868
3514402096331;2096331;CAPS AD II DE DRACENA;17900000;70;35;;2018;12;5;CAPS ALCOOL E DROGA;351440;São Paulo;46024937;Dracena;45248;SP;35111;Alta Paulista;132234
4202002335115;2335115;UE CAPS II CENTRO DE ATENCAO PSICOSSOCIAL;88330570;70;42;;2018;12;2;CAPS II;420200;Santa Catarina;7762154;Balneário Camboriú;140036;SC;42005;Foz do Rio Itajaí;854561
3103502765365;2765365;CAPS CENTRO DE ATENCAO PSICOSSOCIAL;38440070;70;31;;2018;12;2;CAPS II;310350;Minas Gerais;20732660;Araguari;121424;MG;31075;Uberlândia / Araguari;954225
1600307790287;7790287;SES AP CENTRO DE ATENCAO PSICOSSOCIAL CASA GENTILEZA;68908160;70;16;;2018;12;2;CAPS II;160030;Amapá;774268;Macapá;478448;AP;16001;Área Central;530034
3152103117197;3117197;CAPS CENTRO DE ATENCAO PSICOSOCIAL DE PONTE NOVA;35430001;70;31;;2018;12;2;CAPS II;315210;Minas Gerais;20732660;Ponte Nova;58779;MG;31060;Ponte Nova;208710
2210707802447;7802447;CENTRO DE ATENCAO PSICOSSOCIAL CAPS I SIMOES;64585000;70;22;;2018;12;1;CAPS I;221070;Piauí;3270174;Simões;14344;PI;22009;Vale do Rio Guaribas;363707
2805805985692;5985692;CAPS I ESTRELA GUIA;49320000;70;28;;2018;12;1;CAPS I;280580;Sergipe;2211868;Riachão do Dantas;18321;SE;28004;Lagarto;255328
3534605273846;5273846;CAPS HENRIQUE CHICOLI;17700000;70;35;;2018;12;1;CAPS I;353460;São Paulo;46024937;Osvaldo Cruz;31222;SP;35091;Adamantina;128183
4119505075483;5075483;CAPS II PIRAQUARA;83307120;70;41;;2018;12;2;CAPS II;411950;Paraná;11835379;Piraquara;131101;PR;41002;2ª RS Metropolitana;3742171
4120605024609;5024609;CAPS CENTRO DE ATENCAO PSICOSSOCIAL PRUDENTOPOLIS;84400000;70;41;0;2018;12;1;CAPS I;412060;Paraná;11835379;Prudentópolis;49395;PR;41005;5ª RS Guarapuava;463694
2304405075114;5075114;CAPS GERAL SER I;60325640;70;23;;2018;12;2;CAPS II;230440;Ceará;8936431;Fortaleza;2596157;CE;23001;1ª Região Fortaleza;2822811
2930305062446;5062446;CAPS I FLORENTINA PEREIRA DA SILVA MIUCHA;47740000;70;29;17;2018;12;1;CAPS I;293030;Bahia;14659023;Serra Dourada;16691;BA;29021;Santa Maria da Vitória;303094
2926305046211;5046211;CENTRO DE ATENCAO PSICOSSOCIAL DE RIACHAO DO JACUIPE;44640000;70;29;;2018;12;1;CAPS I;292630;Bahia;14659023;Riachão do Jacuípe;33422;BA;29006;Feira de Santana;1187745
3301006476775;6476775;CAPS III DR ROMEO CASARSA;28035145;70;33;;2018;12;3;CAPS III;330100;Rio de Janeiro;16615526;Campos dos Goytacazes;474667;RJ;33008;Norte;913450
3306206471846;6471846;CAPS DR HORACIO TAVERNAD DOS SANTOS;27700000;70;33;;2018;12;1;CAPS I;330620;Rio de Janeiro;16615526;Vassouras;38081;RJ;33003;Centro-Sul;321895
4310206467415;6467415;CENTRO DE ATENCAO PSICOSSOCIAL CAPS INFANTIL;98700000;70;43;;2018;12;4;CAPS INFANTO/JUVENIL;431020;Rio Grande do Sul;11088065;Ijuí;85135;RS;43013;Região 13 - Diversidade;228185
2926005071488;5071488;CAPS I ANTONIO DIAS DE CASTRO;47200000;70;29;;2018;12;1;CAPS I;292600;Bahia;14659023;Remanso;40531;BA;29016;Juazeiro;558845
3306006463126;6463126;CAPS AD III DR ZILDA JANUZZI VELOSO;25805010;70;33;;2018;12;6;CAPS ALCOOL E DROGAS III - MUNICIPAL;330600;Rio de Janeiro;16615526;Três Rios;76789;RJ;33003;Centro-Sul;321895
3146106498434;6498434;OURO PRETO CAPS AD;35400000;70;31;16;2018;12;5;CAPS ALCOOL E DROGA;314610;Minas Gerais;20732660;Ouro Preto;76069;MG;31022;Ouro Preto;199503
2105305795206;5795206;CAPSADIII CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS;65901550;70;21;17;2018;12;5;CAPS ALCOOL E DROGA;210530;Maranhão;6800605;Imperatriz;273027;MA;21008;Imperatriz;538362
4304605976642;5976642;CAPS I CATAVENTOS;92010030;70;43;;2018;12;4;CAPS INFANTO/JUVENIL;430460;Rio Grande do Sul;11088065;Canoas;339133;RS;43008;Região 08 - Vale do Caí e Metropolitana;757693
3525005192080;5192080;CAPS II CENTRO DE ATENCAO PSICOSSOCIAL JANDIRA;6606080;70;35;0;2018;12;2;CAPS II;352500;São Paulo;46024937;Jandira;127476;SP;35014;Rota dos Bandeirantes;2076368
3549106584063;6584063;CAPS AD SAO JOAO DA BOA VISTA;13875037;70;35;;2018;12;5;CAPS ALCOOL E DROGA;354910;São Paulo;46024937;São João da Boa Vista;92319;SP;35142;Mantiqueira;266644
3550306586147;6586147;CAPS AD II SACOMA;4217000;70;35;;2018;12;2;CAPS II;355030;São Paulo;46024937;São Paulo;12200180;SP;35016;São Paulo;12200180
2925805254507;5254507;CAPS SANTO ANTONIO DAS QUEIMADAS;48860000;70;29;;2018;12;1;CAPS I;292580;Bahia;14659023;Queimadas;26027;BA;29025;Serrinha;641288
3170406569056;6569056;CAPS CENTRO DE ATENCAO PSICOSOCIAL;38610000;70;31;;2018;12;1;CAPS I;317040;Minas Gerais;20732660;Unaí;86867;MG;31058;Unaí;275845
2104056587771;6587771;CAPS I ANTONIO PAULO DA COSTA;65975000;70;21;;2018;12;1;CAPS I;210405;Maranhão;6800605;Estreito;33245;MA;21008;Imperatriz;538362
4106906569749;6569749;CAPS AD CIC;81270010;70;41;17;2018;12;5;CAPS ALCOOL E DROGA;410690;Paraná;11835379;Curitiba;1871789;PR;41002;2ª RS Metropolitana;3742171
1502106580874;6580874;CAPS;68400000;70;15;15;2018;12;2;CAPS II;150210;Pará;8442962;Cametá;134734;PA;15011;Tocantins;709854
2402606577830;6577830;CENTRO DE ATENCAO PSICOSSOCIAL CAPS II;59570000;70;24;;2018;12;2;CAPS II;240260;Rio Grande do Norte;3303953;Ceará-Mirim;78486;RN;24003;3ª Região de Saúde - João Câmara;336877
2200405247543;5247543;CAPS DE ALTOS;64290000;70;22;;2018;12;1;CAPS I;220040;Piauí;3270174;Altos;46826;PI;22004;Entre Rios;1244584
2207805245214;5245214;CAPS DE PAULISTANA;64750000;70;22;;2018;12;1;CAPS I;220780;Piauí;3270174;Paulistana;21080;PI;22009;Vale do Rio Guaribas;363707
2929906738761;6738761;CENTRO DE APOIO PSICOSSOCIAL CAPS;46900000;70;29;;2018;12;1;CAPS I;292990;Bahia;14659023;Seabra;49587;BA;29023;Seabra;193300
4128006716865;6716865;CENTRO DE ATENCAO PSICOSSOCIAL DE UBIRATA;85440000;70;41;0;2018;12;1;CAPS I;412800;Paraná;11835379;Ubiratã;24733;PR;41011;11ª RS Campo Mourão;342594
