ESTADO_CODIGO;ESTADO_SIGLA;ESTADO_NOME;CO_CEP;ANO;MES;ESTADO_POPULACAO;TIPO;ESTADO_QTDE_CAPS;ESTADO_IC
11;RO;Rondônia;76801039;2018;12;1616379;CAPS IJ;1;0,06186667854506895
11;RO;Rondônia;76803894;2018;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76803894;2019;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76803894;2020;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76803894;2021;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76804020;2022;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76804027;2022;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76804027;2022;12;1616379;CAPS IJ;1;0,06186667854506895
11;RO;Rondônia;76812068;2019;12;1616379;CAPS IJ;1;0,06186667854506895
11;RO;Rondônia;76812068;2020;12;1616379;CAPS IJ;1;0,06186667854506895
11;RO;Rondônia;76812068;2021;12;1616379;CAPS IJ;1;0,06186667854506895
11;RO;Rondônia;76820194;2019;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76820194;2020;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76820194;2021;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76820739;2018;12;1616379;CAPS AD;1;0,06186667854506895
11;RO;Rondônia;76820739;2018;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76824396;2019;12;1616379;CAPS AD;1;0,06186667854506895
11;RO;Rondônia;76824396;2020;12;1616379;CAPS AD;1;0,06186667854506895
11;RO;Rondônia;76824396;2021;12;1616379;CAPS AD;1;0,06186667854506895
11;RO;Rondônia;76824396;2022;12;1616379;CAPS AD;1;0,06186667854506895
11;RO;Rondônia;76850000;2018;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76850000;2019;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76850000;2020;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76850000;2021;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76850000;2022;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76857000;2018;12;1616379;CAPS I;1;0,030933339272534475
