ESTADO_CODIGO;MUNICIPIO_CODIGO;TIPO_UNIDADE_CODIGO;TIPO_LEITO_CODIGO;LEITO_ESPECIALIZACAO_CODIGO;ANO;TOTAL_LEITOS_SAUDE_MENTAL
11;110002;5;1;5;2018;0
11;110002;5;1;5;2019;0
11;110002;5;1;5;2020;0
11;110002;5;1;5;2021;0
11;110002;5;1;5;2022;0
11;110004;5;1;5;2018;2
11;110004;5;1;5;2019;2
11;110004;5;1;5;2020;2
11;110004;5;1;5;2021;2
11;110004;5;1;5;2022;2
11;110006;5;6;47;2022;1
11;110011;5;2;87;2018;0
11;110012;5;2;87;2018;6
11;110012;5;2;87;2019;6
11;110012;5;2;87;2020;6
11;110012;5;2;87;2021;6
11;110012;5;2;87;2022;6
11;110015;5;1;5;2018;0
11;110015;5;1;5;2019;0
11;110015;5;1;5;2020;0
11;110015;5;1;5;2021;0
11;110015;5;1;5;2022;0
11;110020;5;1;5;2018;2
11;110020;5;1;5;2019;2
11;110020;5;1;5;2020;0
11;110020;5;1;5;2021;0
11;110020;5;1;5;2022;0
11;110020;5;6;47;2018;35
11;110020;5;6;47;2019;72
11;110020;5;6;47;2020;72
11;110020;5;6;47;2021;72
11;110020;5;6;47;2022;72
11;110020;5;7;73;2020;0
11;110020;5;7;73;2021;0
11;110020;5;7;73;2022;0
11;110028;5;2;87;2021;0
11;110028;5;6;47;2018;3
11;110028;5;6;47;2019;3
11;110028;5;6;47;2020;3
11;110028;5;6;47;2021;3
11;110028;5;6;47;2022;8
11;110030;5;2;87;2018;6
11;110030;5;2;87;2019;6
11;110030;5;2;87;2020;6
11;110030;5;2;87;2021;6
11;110030;5;2;87;2022;6
11;110030;5;6;47;2018;6
11;110030;5;6;47;2019;6
11;110030;5;6;47;2020;6
11;110030;5;6;47;2021;6
11;110030;5;6;47;2022;6
12;120010;5;2;87;2019;0
12;120010;5;2;87;2020;0
12;120010;5;6;47;2018;1
12;120010;5;7;73;2022;2
12;120020;5;6;47;2018;1
12;120020;5;6;47;2019;2
12;120020;5;6;47;2020;1
12;120020;5;6;47;2021;1
12;120020;5;6;47;2022;1
12;120020;7;6;47;2018;1
12;120020;7;6;47;2019;1
12;120030;5;6;47;2018;1
12;120030;5;6;47;2019;1
12;120030;5;6;47;2020;1
12;120030;5;6;47;2021;1
12;120030;5;6;47;2022;1
12;120033;5;6;47;2018;1
12;120033;5;6;47;2019;1
12;120033;5;6;47;2020;1
12;120033;5;6;47;2021;1
12;120033;5;6;47;2022;1
12;120038;5;6;47;2018;1
12;120038;5;6;47;2019;1
12;120038;5;6;47;2020;1
12;120038;5;6;47;2021;1
12;120038;5;6;47;2022;1
12;120040;5;1;5;2018;0
12;120040;5;1;5;2019;0
12;120040;5;1;5;2020;0
12;120040;5;1;5;2021;0
12;120040;5;1;5;2022;0
12;120040;5;2;87;2018;18
12;120040;5;2;87;2019;18
12;120040;5;2;87;2020;18
12;120040;5;2;87;2021;18
12;120040;5;2;87;2022;18
12;120040;5;6;47;2019;0
12;120040;5;6;47;2020;0
12;120040;5;6;47;2021;0
12;120040;5;6;47;2022;0
12;120040;7;6;47;2018;53
12;120040;7;6;47;2019;53
12;120040;7;6;47;2020;53
12;120040;7;6;47;2021;53
12;120040;7;6;47;2022;53
12;120045;5;6;47;2018;1
12;120045;5;6;47;2019;1
12;120045;5;6;47;2020;1
12;120045;5;6;47;2021;1
12;120045;5;6;47;2022;1
12;120050;5;6;47;2018;2
12;120050;5;6;47;2019;2
12;120050;5;6;47;2020;2
12;120050;5;6;47;2021;2
12;120060;5;6;47;2018;1
12;120060;5;6;47;2019;1
12;120060;5;6;47;2020;1
12;120060;5;6;47;2021;1
12;120060;5;6;47;2022;1
13;130014;5;6;47;2020;2
13;130014;5;6;47;2021;2
13;130014;5;6;47;2022;2
13;130070;5;6;47;2018;1
13;130070;5;6;47;2019;1
13;130120;5;2;87;2018;0
13;130120;5;2;87;2019;0
13;130120;5;2;87;2020;0
13;130120;5;2;87;2021;0
13;130120;5;2;87;2022;0
13;130130;5;6;47;2018;3
13;130130;5;6;47;2019;3
13;130130;5;6;47;2020;3
13;130130;5;6;47;2021;3
13;130130;5;6;47;2022;3
