ESTADO_CODIGO;MUNICIPIO_CODIGO;SERVICO_ESPECIALIZADO_CODIGO;SERVICO_ESPECIALIZADO_CLASSIFICACAO_CODIGO;ANO;TOTAL_SERVICO_HOSPITALAR_SAUDE_MENTAL
11;110002;115;2;2020;1
11;110002;115;2;2021;1
11;110002;115;3;2018;1
11;110002;115;3;2019;1
11;110002;115;3;2020;1
11;110002;115;3;2021;1
11;110002;115;3;2022;1
11;110004;115;3;2018;1
11;110004;115;3;2019;1
11;110004;115;3;2020;1
11;110004;115;3;2021;1
11;110004;115;3;2022;1
11;110006;115;3;2018;1
11;110006;115;3;2019;1
11;110006;115;3;2020;1
11;110006;115;3;2021;1
11;110006;115;3;2022;1
11;110009;115;3;2019;1
11;110009;115;3;2020;1
11;110009;115;3;2021;1
11;110009;115;3;2022;1
11;110011;115;2;2018;1
11;110011;115;2;2019;1
11;110011;115;2;2020;1
11;110011;115;2;2021;1
11;110011;115;2;2022;1
11;110011;115;3;2018;1
11;110011;115;3;2019;1
11;110011;115;3;2020;1
11;110011;115;3;2021;1
11;110011;115;3;2022;1
11;110012;115;3;2018;1
11;110012;115;3;2019;1
11;110012;115;3;2020;1
11;110012;115;3;2021;1
11;110012;115;3;2022;1
11;110020;115;2;2018;5
11;110020;115;2;2019;5
11;110020;115;2;2020;5
11;110020;115;2;2021;5
11;110020;115;2;2022;5
11;110020;115;3;2018;2
11;110020;115;3;2019;3
11;110020;115;3;2020;3
11;110020;115;3;2021;3
11;110020;115;3;2022;3
11;110028;115;3;2018;1
11;110028;115;3;2019;1
11;110028;115;3;2020;1
11;110028;115;3;2021;1
11;110028;115;3;2022;1
11;110030;115;3;2018;1
11;110030;115;3;2019;1
11;110030;115;3;2020;1
11;110030;115;3;2021;1
11;110030;115;3;2022;1
11;110033;115;3;2022;1
11;110045;115;2;2019;1
11;110045;115;2;2020;1
11;110045;115;2;2021;1
11;110045;115;2;2022;1
11;110045;115;3;2018;1
11;110045;115;3;2019;1
11;110045;115;3;2020;1
11;110045;115;3;2021;1
11;110045;115;3;2022;1
11;110050;115;2;2020;1
11;110050;115;2;2021;1
11;110050;115;3;2020;1
11;110149;115;2;2018;1
11;110149;115;2;2019;1
11;110149;115;2;2020;1
11;110149;115;2;2021;1
11;110149;115;2;2022;1
11;110149;115;3;2018;1
11;110149;115;3;2019;1
11;110149;115;3;2020;1
11;110149;115;3;2021;1
11;110149;115;3;2022;1
11;110170;115;3;2018;1
11;110170;115;3;2019;1
11;110170;115;3;2022;1
12;120010;115;2;2018;1
12;120010;115;2;2019;1
12;120010;115;2;2020;1
12;120010;115;2;2021;1
12;120010;115;2;2022;1
12;120020;115;3;2018;1
12;120020;115;3;2019;1
12;120020;115;3;2020;1
12;120020;115;3;2021;1
12;120020;115;3;2022;1
12;120040;115;2;2018;4
12;120040;115;2;2019;5
12;120040;115;2;2020;5
12;120040;115;2;2021;4
12;120040;115;2;2022;4
12;120040;115;3;2018;1
12;120040;115;3;2019;1
12;120040;115;3;2020;1
12;120040;115;3;2021;1
12;120040;115;3;2022;1
12;120060;115;2;2018;1
