CO_CEP;CO_MUNICIPIO_GESTOR
72322583;530022
72542508;530023
73020030;530015
70710100;530011
73310100;530016
72301527;530022
71593620;530038
70305000;530011
71010634;530020
71570211;530017
72125750;530013
73062700;530036
72621400;530025
70790050;530011
71805100;530027
72225011;530019
72110390;530013
72725104;530014
72725116;530014
72300639;530022
71825300;530027
73025060;530015
71025000;530020
70200720;530019
72155000;530013
72457994;530010
73307990;530010
73307997;530010
73307992;530010
73307993;530010
72457996;530010
72227991;530010
72710990;530010
72738990;530010
72457993;530010
73368664;530016
72799899;530014
73499899;530016
70710905;530011
70790054;530011
70764400;530011
70203900;530011
70200650;530011
71725400;530029
72225150;530019
72210160;530019
72255000;530019
72241540;530019
72270300;530019
72268000;530019
72240540;530019
72242000;530019
72215270;530019
72215150;530019
72231413;530019
72235571;530019
72220120;530019
72236800;530019
72231560;530019
72220280;530019
72220160;530019
71691047;530024
72491010;530012
73088300;530015
70655610;530021
70640008;530021
71593600;530038
70636003;530011
71015258;530020
71020010;530020
71010006;530020
71070380;530020
71070090;530020
72760120;530014
71590000;530038
73340100;530016
73340300;530016
71699195;530024
71693214;530024
71730000;530018
71720585;530018
71715520;530018
73100000;530015
71570210;530017
71571800;530017
71570903;530017
71570050;530017
71570201;530017
71587134;530017
72426010;530012
72620400;530025
72600200;530025
72600100;530025
72622400;530025
72650561;530025
72640430;530025
72600400;530025
72650030;530025
72650760;530025
71694045;530024
71693500;530024
72593000;530023
72593302;530023
71805811;530027
71805731;530027
71805132;530027
71884690;530027
71880100;530027
71882266;530027
71884300;530027
71884376;530027
72318599;530022
72329500;530022
72331565;530022
72316223;530022
72338712;530022
72312702;530022
72311207;530022
72307716;530022
72317520;530022
72304526;530022
72308515;530022
72547305;530023
72507520;530023
72500414;530023
72542300;530023
72502300;530023
72547304;530023
72547325;530023
72500413;530023
72505400;530023
71697071;530024
72405380;530012
72405901;530012
71255230;530035
71505600;530035
71540400;530035
73081180;530015
73080050;530015
73020412;530015
73150030;530015
73402015;530016
72001185;530013
73310000;530016
73310902;530016
72460120;530012
72465390;530012
72450150;530012
72460000;530012
72444220;530012
72710065;530014
73310690;530016
72425100;530012
73062712;530015
73061345;530015
73350100;530016
73380160;530016
73380900;530016
73343010;530016
71692725;530024
72415318;530012
72410110;530012
72410104;530012
72720660;530014
71691101;530024
70610907;530035
73050140;530015
73030030;530015
73017017;530015
73070056;530015
73031615;530015
73010901;530015
72130077;530013
72130078;530013
72120970;530013
72016010;530013
73389009;530016
73370054;530016
73370096;530016
71555133;530033
72725100;530014
71693168;530024
70804190;530011
72745000;530014
71693032;530024
73320020;530016
71200040;530020
