MUNICIPIO_CODIGO;MUNICIPIO_NOME;latitude;longitude;capital;ESTADO_CODIGO;siafi_id;ddd;fuso_horario;ESTADO_SIGLA;REGIAO_SAUDE_CODIGO;REGIAO_SAUDE_NOME;ESTADO_NOME;MUNICIPIO_POPULACAO
520005;Abadia de Goiás;-16.7573;-49.4412;0;52;1050;62;America/Sao_Paulo;GO;52001;Central;Goiás;19141
310010;Abadia dos Dourados;-18.4831;-47.3916;0;31;4001;34;America/Sao_Paulo;MG;31074;Patrocínio / Monte Carmelo;Minas Gerais;6235
520010;Abadiânia;-16.197;-48.7057;0;52;9201;62;America/Sao_Paulo;GO;52011;Pirineus;Goiás;15498
310020;Abaeté;-19.1551;-45.4444;0;31;4003;37;America/Sao_Paulo;MG;31024;Sete Lagoas;Minas Gerais;22492
150010;Abaetetuba;-1.72183;-48.8788;0;15;401;91;America/Sao_Paulo;PA;15011;Tocantins;Pará;158042
230010;Abaiara;-7.34588;-39.0416;0;23;1301;88;America/Sao_Paulo;CE;23019;19ª Região Brejo Santo;Ceará;9670
290010;Abaíra;-13.2488;-41.6619;0;29;3301;77;America/Sao_Paulo;BA;29023;Seabra;Bahia;7290
290020;Abaré;-8.72073;-39.1162;0;29;3303;75;America/Sao_Paulo;BA;29017;Paulo Afonso;Bahia;18766
410010;Abatiá;-23.3049;-50.3133;0;41;7401;43;America/Sao_Paulo;PR;41018;18ª RS Cornélio Procópio;Paraná;7321
420005;Abdon Batista;-27.6126;-51.0233;0;42;9939;49;America/Sao_Paulo;SC;42008;Meio Oeste;Santa Catarina;2600
150013;Abel Figueiredo;-4.95333;-48.3933;0;15;375;94;America/Sao_Paulo;PA;15003;Carajás;Pará;6119
420010;Abelardo Luz;-26.5716;-52.3229;0;42;8001;49;America/Sao_Paulo;SC;42003;Xanxerê;Santa Catarina;17389
310030;Abre Campo;-20.2996;-42.4743;0;31;4005;31;America/Sao_Paulo;MG;31059;Manhuaçu;Minas Gerais;13882
260005;Abreu e Lima;-7.90072;-34.8984;0;26;2631;81;America/Sao_Paulo;PE;26010;Recife;Pernambuco;99331
170025;Abreulândia;-9.62101;-49.1518;0;17;337;63;America/Sao_Paulo;TO;17007;Cantão;Tocantins;2463
310040;Acaiaca;-20.359;-43.1439;0;31;4007;31;America/Sao_Paulo;MG;31060;Ponte Nova;Minas Gerais;3920
210005;Açailândia;-4.94714;-47.5004;0;21;961;99;America/Sao_Paulo;MA;21001;Açailândia;Maranhão;107263
290030;Acajutiba;-11.6575;-38.0197;0;29;3305;75;America/Sao_Paulo;BA;29001;Alagoinhas;Bahia;13715
150020;Acará;-1.95383;-48.1985;0;15;403;91;America/Sao_Paulo;PA;15007;Metropolitana II;Pará;63268
230015;Acarape;-4.22083;-38.7055;0;23;1231;85;America/Sao_Paulo;CE;23003;3ª Região Maracanaú;Ceará;13553
230020;Acaraú;-2.88769;-40.1183;0;23;1303;88;America/Sao_Paulo;CE;23012;12ª Região Acaraú;Ceará;64551
240010;Acari;-6.4282;-36.6347;0;24;1601;84;America/Sao_Paulo;RN;24004;4ª Região de Saúde - Caicó;Rio Grande do Norte;10589
220005;Acauã;-8.21954;-41.0831;0;22;266;89;America/Sao_Paulo;PI;22009;Vale do Rio Guaribas;Piauí;6422
430003;Aceguá;-31.8665;-54.1615;0;43;1118;53;America/Sao_Paulo;RS;43022;Região 22 - Pampa;Rio Grande do Sul;4156
